Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Scientist III,Tennessee,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",87552,97063,107510,119215,129871
Data Scientist III,North Carolina,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",91428,101361,112270,124493,135621
Data Scientist III,South Carolina,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",89915,99683,110411,122432,133376
Data Scientist III,District of Columbia,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",106019,117536,130186,144360,157264
Data Scientist III,Oklahoma,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",88058,97624,108131,119903,130621
Data Scientist III,Louisiana,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",90552,100389,111194,123300,134321
Data Scientist III,Mississippi,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",84933,94160,104294,115649,125986
Data Scientist III,Alabama,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",87495,97000,107440,119137,129787
Data Scientist III,Georgia,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",92412,102451,113478,125832,137080
Data Scientist III,Hawaii,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",99923,110779,122701,136060,148223
Data Scientist III,Texas,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",93619,103789,114960,127475,138870
Data Scientist III,Florida,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",90476,100305,111100,123196,134208
